
2024/09/28 (19:09:34) | ===> btop++ v.1.4.0
2024/09/28 (19:09:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (19:09:44) | ===> btop++ v.1.4.0
2024/09/28 (19:09:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (21:31:02) | ===> btop++ v.1.4.0
2024/09/28 (21:31:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (13:14:30) | ===> btop++ v.1.4.0
2024/09/29 (13:14:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (17:51:39) | ===> btop++ v.1.4.0
2024/09/29 (17:51:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (18:04:22) | ===> btop++ v.1.4.0
2024/09/29 (18:04:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (11:40:11) | ===> btop++ v.1.4.0
2024/10/22 (11:40:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (20:44:10) | ===> btop++ v.1.4.0
2024/10/26 (20:44:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (17:44:24) | ===> btop++ v.1.4.0
2024/12/09 (17:44:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (20:16:36) | ===> btop++ v.1.4.0
2024/12/13 (20:16:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (21:12:34) | ===> btop++ v.1.4.0
2024/12/14 (21:12:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (11:46:29) | ===> btop++ v.1.4.0
2024/12/15 (11:46:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (11:50:40) | ===> btop++ v.1.4.0
2024/12/15 (11:50:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (14:06:31) | ===> btop++ v.1.4.0
2024/12/15 (14:06:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (14:06:44) | ===> btop++ v.1.4.0
2024/12/15 (14:06:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (14:07:12) | ===> btop++ v.1.4.0
2024/12/15 (14:07:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (14:49:15) | ===> btop++ v.1.4.0
2024/12/15 (14:49:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (14:49:21) | ===> btop++ v.1.4.0
2024/12/15 (14:49:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (14:50:54) | ===> btop++ v.1.4.0
2024/12/15 (14:50:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (15:30:02) | ===> btop++ v.1.4.0
2024/12/15 (15:30:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (17:57:57) | ===> btop++ v.1.4.0
2024/12/15 (17:57:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (19:16:46) | ===> btop++ v.1.4.0
2024/12/15 (19:16:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (20:48:33) | ===> btop++ v.1.4.0
2024/12/15 (20:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (20:49:04) | ===> btop++ v.1.4.0
2024/12/15 (20:49:04) | DEBUG: Running in DEBUG mode!
2024/12/15 (20:49:04) | INFO: Logger set to DEBUG
2024/12/15 (20:49:04) | DEBUG: Using locale en_US.UTF-8
2024/12/15 (20:49:04) | INFO: Running on /dev/pts/0
2024/12/15 (20:49:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/15 (20:49:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/15 (20:49:04) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/15 (20:49:04) | DEBUG: Shared::init() : Initialized.
2024/12/15 (20:49:04) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2024/12/15 (20:49:11) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2024/12/15 (20:49:12) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2024/12/15 (20:49:12) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2024/12/15 (20:49:13) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/12/15 (20:49:13) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2024/12/15 (20:49:13) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/12/15 (20:49:14) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme

2024/12/16 (18:48:39) | ===> btop++ v.1.4.0
2024/12/16 (18:48:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (19:05:16) | ===> btop++ v.1.4.0
2024/12/17 (19:05:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (18:40:04) | ===> btop++ v.1.4.0
2024/12/18 (18:40:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (21:28:14) | ===> btop++ v.1.4.0
2024/12/19 (21:28:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (18:46:31) | ===> btop++ v.1.4.0
2024/12/20 (18:46:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (18:47:47) | ===> btop++ v.1.4.0
2024/12/20 (18:47:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (18:41:58) | ===> btop++ v.1.4.0
2024/12/21 (18:41:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (18:47:55) | ===> btop++ v.1.4.0
2024/12/21 (18:47:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (15:11:06) | ===> btop++ v.1.4.0
2024/12/22 (15:11:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (15:14:36) | ===> btop++ v.1.4.0
2024/12/22 (15:14:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (18:38:41) | ===> btop++ v.1.4.0
2024/12/23 (18:38:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (19:08:59) | ===> btop++ v.1.4.0
2024/12/28 (19:08:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (10:04:03) | ===> btop++ v.1.4.0
2024/12/29 (10:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (10:29:25) | ===> btop++ v.1.4.0
2024/12/29 (10:29:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (20:18:56) | ===> btop++ v.1.4.0
2024/12/29 (20:18:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (22:25:35) | ===> btop++ v.1.4.0
2024/12/29 (22:25:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (22:29:27) | ===> btop++ v.1.4.0
2024/12/29 (22:29:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (22:29:30) | ===> btop++ v.1.4.0
2024/12/30 (22:29:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (12:12:50) | ===> btop++ v.1.4.0
2025/01/01 (12:12:50) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/01 (12:13:02) | ===> btop++ v.1.4.0
2025/01/01 (12:13:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/01 (16:11:37) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/01 (16:11:50) | ===> btop++ v.1.4.0
2025/01/01 (16:11:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (19:25:41) | ===> btop++ v.1.4.0
2025/01/01 (19:25:41) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/01 (19:26:49) | ===> btop++ v.1.4.0
2025/01/01 (19:26:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (21:58:51) | ===> btop++ v.1.4.0
2025/01/01 (21:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (18:42:01) | ===> btop++ v.1.4.0
2025/01/02 (18:42:01) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/03 (19:11:42) | ===> btop++ v.1.4.0
2025/01/03 (19:11:42) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/03 (19:11:49) | ===> btop++ v.1.4.0
2025/01/03 (19:11:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (20:33:32) | ===> btop++ v.1.4.0
2025/01/04 (20:33:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/05 (10:48:10) | ===> btop++ v.1.4.0
2025/01/05 (10:48:10) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/05 (10:48:50) | ===> btop++ v.1.4.0
2025/01/05 (10:48:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (11:58:04) | ===> btop++ v.1.4.0
2025/01/05 (11:58:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (18:16:10) | ===> btop++ v.1.4.0
2025/01/05 (18:16:10) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/05 (19:26:07) | ===> btop++ v.1.4.0
2025/01/05 (19:26:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (22:33:37) | ===> btop++ v.1.4.0
2025/01/05 (22:33:37) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/06 (19:57:51) | ===> btop++ v.1.4.0
2025/01/06 (19:57:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/06 (19:59:11) | ===> btop++ v.1.4.0
2025/01/06 (19:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (15:05:52) | ===> btop++ v.1.4.0
2025/01/08 (15:05:52) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/08 (15:05:59) | ===> btop++ v.1.4.0
2025/01/08 (15:05:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (13:22:08) | ===> btop++ v.1.4.0
2025/01/09 (13:22:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/09 (13:24:20) | ===> btop++ v.1.4.0
2025/01/09 (13:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (21:46:40) | ===> btop++ v.1.4.0
2025/01/09 (21:46:40) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/09 (21:51:15) | ===> btop++ v.1.4.0
2025/01/09 (21:51:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (17:39:09) | ===> btop++ v.1.4.0
2025/01/10 (17:39:09) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/10 (19:48:58) | ===> btop++ v.1.4.0
2025/01/10 (19:48:58) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/10 (19:53:50) | ===> btop++ v.1.4.0
2025/01/10 (19:53:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (18:53:45) | ===> btop++ v.1.4.0
2025/01/12 (18:53:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/12 (19:05:46) | ===> btop++ v.1.4.0
2025/01/12 (19:05:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (20:02:16) | ===> btop++ v.1.4.0
2025/01/12 (20:02:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:07:11) | ===> btop++ v.1.4.0
2025/01/12 (22:07:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (09:51:43) | ===> btop++ v.1.4.0
2025/01/13 (09:51:43) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/13 (10:32:20) | ===> btop++ v.1.4.0
2025/01/13 (10:32:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/13 (15:09:28) | ERROR: Stall in Runner thread, restarting!

2025/01/13 (18:05:49) | ===> btop++ v.1.4.0
2025/01/13 (18:05:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
